Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66124,2006,11,5,18.2,1,Y
IDCJAC0010,66124,2006,11,6,20,1,Y
IDCJAC0010,66124,2006,11,7,22,1,Y
IDCJAC0010,66124,2006,11,8,19.6,1,Y
IDCJAC0010,66124,2006,11,9,19.2,1,Y
IDCJAC0010,66124,2006,11,10,27,1,Y
IDCJAC0010,66124,2006,11,11,32.3,1,Y
IDCJAC0010,66124,2006,11,12,31.8,1,Y
IDCJAC0010,66124,2006,11,13,27.3,1,Y
IDCJAC0010,66124,2006,11,14,25,1,Y
IDCJAC0010,66124,2006,11,15,25.4,1,Y
IDCJAC0010,66124,2006,11,16,18.2,1,Y
IDCJAC0010,66124,2006,11,17,20.2,1,Y
IDCJAC0010,66124,2006,11,18,28,1,Y
IDCJAC0010,66124,2006,11,19,30,1,Y
IDCJAC0010,66124,2006,11,20,35.3,1,Y
IDCJAC0010,66124,2006,11,21,38.5,1,Y
IDCJAC0010,66124,2006,11,22,38.3,1,Y
IDCJAC0010,66124,2006,11,23,28,1,Y
IDCJAC0010,66124,2006,11,24,25.1,1,Y
IDCJAC0010,66124,2006,11,25,30.9,1,Y
IDCJAC0010,66124,2006,11,26,23.6,1,Y
IDCJAC0010,66124,2006,11,27,25.8,1,Y
IDCJAC0010,66124,2006,11,28,37,1,Y
IDCJAC0010,66124,2006,11,29,25.5,1,Y
IDCJAC0010,66124,2006,11,30,23.5,1,Y
IDCJAC0010,66124,2006,12,1,38.5,1,Y
IDCJAC0010,66124,2006,12,2,27,1,Y
IDCJAC0010,66124,2006,12,3,18.3,1,Y
IDCJAC0010,66124,2006,12,4,22.4,1,Y
IDCJAC0010,66124,2006,12,5,25.3,1,Y
IDCJAC0010,66124,2006,12,6,31,1,Y
IDCJAC0010,66124,2006,12,7,27,1,Y
IDCJAC0010,66124,2006,12,8,25.5,1,Y
IDCJAC0010,66124,2006,12,9,26,1,Y
IDCJAC0010,66124,2006,12,10,29,1,Y
IDCJAC0010,66124,2006,12,11,37.5,1,Y
IDCJAC0010,66124,2006,12,12,19.1,1,Y
IDCJAC0010,66124,2006,12,13,25.8,1,Y
IDCJAC0010,66124,2006,12,14,35.7,1,Y
IDCJAC0010,66124,2006,12,15,20.8,1,Y
IDCJAC0010,66124,2006,12,16,21.6,1,Y
IDCJAC0010,66124,2006,12,17,24,1,Y
IDCJAC0010,66124,2006,12,18,29.7,1,Y
IDCJAC0010,66124,2006,12,19,27,1,Y
IDCJAC0010,66124,2006,12,20,23.5,1,Y
IDCJAC0010,66124,2006,12,21,27.1,1,Y
IDCJAC0010,66124,2006,12,22,30.1,1,Y
IDCJAC0010,66124,2006,12,23,31.4,1,Y
IDCJAC0010,66124,2006,12,24,23,1,Y
IDCJAC0010,66124,2006,12,25,27,1,Y
IDCJAC0010,66124,2006,12,26,22,1,Y
IDCJAC0010,66124,2006,12,27,25,1,Y
IDCJAC0010,66124,2006,12,28,27.5,1,Y
IDCJAC0010,66124,2006,12,29,26,1,Y
IDCJAC0010,66124,2006,12,30,25.8,1,Y
IDCJAC0010,66124,2006,12,31,26,1,Y
IDCJAC0010,66124,2007,1,1,23.5,1,Y
IDCJAC0010,66124,2007,1,2,25.4,1,Y
IDCJAC0010,66124,2007,1,3,24.4,1,Y
IDCJAC0010,66124,2007,1,4,26,1,Y
IDCJAC0010,66124,2007,1,5,28.5,1,Y
IDCJAC0010,66124,2007,1,6,33,1,Y
IDCJAC0010,66124,2007,1,7,29.3,1,Y
IDCJAC0010,66124,2007,1,8,24.3,1,Y
IDCJAC0010,66124,2007,1,9,24.9,1,Y
IDCJAC0010,66124,2007,1,10,29,1,Y
IDCJAC0010,66124,2007,1,11,36.5,1,Y
IDCJAC0010,66124,2007,1,12,36,1,Y
IDCJAC0010,66124,2007,1,13,26.2,1,Y
IDCJAC0010,66124,2007,1,14,26.3,1,Y
IDCJAC0010,66124,2007,1,15,27,1,Y
IDCJAC0010,66124,2007,1,16,29.3,1,Y
IDCJAC0010,66124,2007,1,17,33,1,Y
IDCJAC0010,66124,2007,1,18,30.5,1,Y
IDCJAC0010,66124,2007,1,19,31.5,1,Y
IDCJAC0010,66124,2007,1,20,36.2,1,Y
IDCJAC0010,66124,2007,1,21,41,1,Y
IDCJAC0010,66124,2007,1,22,31,1,Y
IDCJAC0010,66124,2007,1,23,31,1,Y
IDCJAC0010,66124,2007,1,24,24.2,1,Y
IDCJAC0010,66124,2007,1,25,23.9,1,Y
IDCJAC0010,66124,2007,1,26,30.5,1,Y
IDCJAC0010,66124,2007,1,27,34.7,1,Y
IDCJAC0010,66124,2007,1,28,31,1,Y
IDCJAC0010,66124,2007,1,29,27.9,1,Y
IDCJAC0010,66124,2007,1,30,35.1,1,Y
IDCJAC0010,66124,2007,1,31,27,1,Y
IDCJAC0010,66124,2007,2,1,22.8,1,Y
IDCJAC0010,66124,2007,2,2,27,1,Y
IDCJAC0010,66124,2007,2,3,31,1,Y
IDCJAC0010,66124,2007,2,4,29.9,1,Y
IDCJAC0010,66124,2007,2,5,30,1,Y
IDCJAC0010,66124,2007,2,6,29.2,1,Y
IDCJAC0010,66124,2007,2,7,29,1,Y
IDCJAC0010,66124,2007,2,8,28.2,1,Y
IDCJAC0010,66124,2007,2,9,27,1,Y
IDCJAC0010,66124,2007,2,10,29.5,1,Y
IDCJAC0010,66124,2007,2,11,27.3,1,Y
IDCJAC0010,66124,2007,2,12,22,1,Y
IDCJAC0010,66124,2007,2,13,26.5,1,Y
IDCJAC0010,66124,2007,2,14,27.5,1,Y
IDCJAC0010,66124,2007,2,15,28.7,1,Y
IDCJAC0010,66124,2007,2,16,29.6,1,Y
IDCJAC0010,66124,2007,2,17,29.8,1,Y
IDCJAC0010,66124,2007,2,18,28,1,Y
IDCJAC0010,66124,2007,2,19,30.1,1,Y
IDCJAC0010,66124,2007,2,20,29.7,1,Y
IDCJAC0010,66124,2007,2,21,29.6,1,Y
IDCJAC0010,66124,2007,2,22,30.3,1,Y
IDCJAC0010,66124,2007,2,23,30.4,1,Y
IDCJAC0010,66124,2007,2,24,32.9,1,Y
IDCJAC0010,66124,2007,2,25,22.3,1,Y
IDCJAC0010,66124,2007,2,26,24,1,Y
IDCJAC0010,66124,2007,2,27,26,1,Y
IDCJAC0010,66124,2007,2,28,28.6,1,Y
IDCJAC0010,66124,2007,3,1,27.7,1,Y
IDCJAC0010,66124,2007,3,2,28.8,1,Y
IDCJAC0010,66124,2007,3,3,36.5,1,Y
IDCJAC0010,66124,2007,3,4,33.8,1,Y
IDCJAC0010,66124,2007,3,5,25,1,Y
IDCJAC0010,66124,2007,3,6,23.3,1,Y
IDCJAC0010,66124,2007,3,7,25.7,1,Y
IDCJAC0010,66124,2007,3,8,31,1,Y
IDCJAC0010,66124,2007,3,9,24.5,1,Y
IDCJAC0010,66124,2007,3,10,26,1,Y
IDCJAC0010,66124,2007,3,11,33.2,1,Y
IDCJAC0010,66124,2007,3,12,23.3,1,Y
IDCJAC0010,66124,2007,3,13,23.2,1,Y
IDCJAC0010,66124,2007,3,14,26.5,1,Y
IDCJAC0010,66124,2007,3,15,29.4,1,Y
IDCJAC0010,66124,2007,3,16,32.5,1,Y
IDCJAC0010,66124,2007,3,17,27.8,1,Y
IDCJAC0010,66124,2007,3,18,22.2,1,Y
IDCJAC0010,66124,2007,3,19,27.3,1,Y
IDCJAC0010,66124,2007,3,20,30.7,1,Y
IDCJAC0010,66124,2007,3,21,28.5,1,Y
IDCJAC0010,66124,2007,3,22,30.2,1,Y
IDCJAC0010,66124,2007,3,23,30.2,1,Y
IDCJAC0010,66124,2007,3,24,34.3,1,Y
IDCJAC0010,66124,2007,3,25,21,1,Y
IDCJAC0010,66124,2007,3,26,23.8,1,Y
IDCJAC0010,66124,2007,3,27,23.3,1,Y
IDCJAC0010,66124,2007,3,28,27.4,1,Y
IDCJAC0010,66124,2007,3,29,24.7,1,Y
IDCJAC0010,66124,2007,3,30,25.3,1,Y
IDCJAC0010,66124,2007,3,31,24,1,Y
IDCJAC0010,66124,2007,4,1,24.6,1,Y
IDCJAC0010,66124,2007,4,2,27.2,1,Y
IDCJAC0010,66124,2007,4,3,24.5,1,Y
IDCJAC0010,66124,2007,4,4,23.8,1,Y
IDCJAC0010,66124,2007,4,5,25.5,1,Y
IDCJAC0010,66124,2007,4,6,21,1,Y
IDCJAC0010,66124,2007,4,7,21.5,1,Y
IDCJAC0010,66124,2007,4,8,22.5,1,Y
IDCJAC0010,66124,2007,4,9,22.8,1,Y
IDCJAC0010,66124,2007,4,10,24.1,1,Y
IDCJAC0010,66124,2007,4,11,26.6,1,Y
IDCJAC0010,66124,2007,4,12,24.4,1,Y
IDCJAC0010,66124,2007,4,13,23.1,1,Y
IDCJAC0010,66124,2007,4,14,24.6,1,Y
IDCJAC0010,66124,2007,4,15,29.1,1,Y
IDCJAC0010,66124,2007,4,16,24.6,1,Y
IDCJAC0010,66124,2007,4,17,24.2,1,Y
IDCJAC0010,66124,2007,4,18,26.3,1,Y
IDCJAC0010,66124,2007,4,19,24,1,Y
IDCJAC0010,66124,2007,4,20,24.5,1,Y
IDCJAC0010,66124,2007,4,21,25.4,1,Y
IDCJAC0010,66124,2007,4,22,23.2,1,Y
IDCJAC0010,66124,2007,4,23,21.5,1,Y
IDCJAC0010,66124,2007,4,24,18,1,Y
IDCJAC0010,66124,2007,4,25,18.2,1,Y
IDCJAC0010,66124,2007,4,26,21,1,Y
IDCJAC0010,66124,2007,4,27,18.7,1,Y
IDCJAC0010,66124,2007,4,28,20.2,1,Y
IDCJAC0010,66124,2007,4,29,23.8,1,Y
IDCJAC0010,66124,2007,4,30,24,1,Y
IDCJAC0010,66124,2007,5,1,24.7,1,Y
IDCJAC0010,66124,2007,5,2,24.6,1,Y
IDCJAC0010,66124,2007,5,3,28.4,1,Y
IDCJAC0010,66124,2007,5,4,27.3,1,Y
IDCJAC0010,66124,2007,5,5,25.7,1,Y
IDCJAC0010,66124,2007,5,6,25.4,1,Y
IDCJAC0010,66124,2007,5,7,24.2,1,Y
IDCJAC0010,66124,2007,5,8,27.5,1,Y
IDCJAC0010,66124,2007,5,9,22.2,1,Y
IDCJAC0010,66124,2007,5,10,19.1,1,Y
IDCJAC0010,66124,2007,5,11,21.2,1,Y
IDCJAC0010,66124,2007,5,12,22.9,1,Y
IDCJAC0010,66124,2007,5,13,23.3,1,Y
IDCJAC0010,66124,2007,5,14,24.3,1,Y
