"","1","2","3","NA","Alcohol_Related_N","Alcohol_Related_Y","DV_Related_N","DV_Related_Y","Assaults"
"2006/6/4",4,32,1,75,64,48,63,49,112
"2006/6/5",9,21,1,40,57,14,43,28,71
"2006/6/6",5,23,0,37,54,11,37,28,65
"2006/6/7",6,16,0,34,44,12,34,22,56
"2006/6/8",7,16,0,49,56,16,51,21,72
"2006/6/9",4,12,0,51,43,24,46,21,67
"2006/7/1",11,31,1,56,62,37,69,30,99
"2006/7/10",9,16,0,25,33,17,30,20,50
"2006/7/11",7,29,0,51,69,18,43,44,87
"2006/7/12",7,17,0,39,49,14,40,23,63
"2006/7/13",4,13,1,59,55,22,48,29,77
"2006/7/14",4,20,0,53,49,28,53,24,77
"2006/7/15",6,37,0,73,45,71,83,33,116
"2006/7/16",15,24,0,74,60,53,75,38,113
"2006/7/17",7,25,0,48,59,21,55,25,80
"2006/7/18",1,17,0,28,34,12,21,25,46
"2006/7/19",8,13,0,33,34,20,36,18,54
"2006/7/2",10,21,0,76,55,52,70,37,107
"2006/7/20",4,30,0,42,57,19,48,28,76
"2006/7/21",7,16,5,63,63,28,63,28,91
"2006/7/22",8,29,0,66,54,49,73,30,103
"2006/7/23",9,32,1,67,61,48,63,46,109
"2006/7/24",3,17,0,42,49,13,44,18,62
"2006/7/25",4,17,0,55,63,13,45,31,76
"2006/7/26",4,17,0,47,49,19,52,16,68
"2006/7/27",10,12,0,52,52,22,54,20,74
"2006/7/28",8,21,0,55,58,26,62,22,84
"2006/7/29",12,24,0,76,46,66,85,27,112
"2006/7/3",3,14,0,33,41,9,31,19,50
"2006/7/30",7,31,0,67,54,51,70,35,105
"2006/7/31",4,25,0,42,54,17,44,27,71
"2006/7/4",3,23,1,41,52,16,47,21,68
"2006/7/5",14,14,0,38,52,14,40,26,66
"2006/7/6",6,16,0,48,48,22,50,20,70
"2006/7/7",0,24,1,44,42,27,41,28,69
"2006/7/8",12,33,1,73,75,44,73,46,119
"2006/7/9",10,43,0,67,57,63,70,50,120
"2006/8/1",2,20,0,34,44,12,31,25,56
"2006/8/10",5,23,0,47,59,16,52,23,75
"2006/8/11",3,20,0,63,56,30,63,23,86
"2006/8/12",4,33,0,71,52,56,76,32,108
"2006/8/13",2,28,1,67,60,38,63,35,98
"2006/8/14",4,15,0,41,45,15,37,23,60
"2006/8/15",5,25,0,53,68,15,49,34,83
"2006/8/16",1,13,0,43,47,10,41,16,57
"2006/8/17",2,26,3,54,63,22,57,28,85
"2006/8/18",9,20,0,53,48,34,66,16,82
"2006/8/19",4,31,0,61,47,49,65,31,96
"2006/8/2",4,18,0,41,48,15,44,19,63
"2006/8/20",6,29,1,63,55,44,63,36,99
"2006/8/21",9,17,0,43,56,13,45,24,69
"2006/8/22",9,18,0,52,66,13,47,32,79
"2006/8/23",7,13,0,51,57,14,39,32,71
"2006/8/24",4,22,0,40,46,20,42,24,66
"2006/8/25",11,18,0,56,52,33,56,29,85
"2006/8/26",11,27,0,53,50,41,62,29,91
"2006/8/27",6,20,0,60,47,39,58,28,86
"2006/8/28",7,23,1,37,50,18,43,25,68
"2006/8/29",6,24,1,44,60,15,47,28,75
"2006/8/3",7,16,0,35,44,14,39,19,58
"2006/8/30",4,23,0,41,49,19,47,21,68
"2006/8/31",3,23,0,56,56,26,53,29,82
