date,Receiver,n,prop,rec
0014-03-12,4,3268,0.6854026845637584,320
0014-03-12,5,290,0.060822147651006714,420
0014-03-13,3,1361,0.28544463087248323,200
0014-03-13,1,3776,0.7919463087248322,0
0014-03-13,2,4007,0.8403942953020134,190
0014-03-13,4,2567,0.5383808724832215,320
0014-03-13,5,112,0.02348993288590604,420
0014-03-14,3,1108,0.23238255033557048,200
0014-03-14,1,4213,0.8835989932885906,0
0014-03-14,2,3875,0.8127097315436241,190
0014-03-14,4,3085,0.6470218120805369,320
0014-03-14,5,654,0.13716442953020133,420
0014-03-15,3,2349,0.49265939597315433,200
0014-03-15,1,4191,0.878984899328859,0
0014-03-15,2,3828,0.8028523489932886,190
0014-03-15,4,3179,0.666736577181208,320
0014-03-15,5,15,0.003145973154362416,420
0014-03-16,3,2078,0.4358221476510067,200
0014-03-16,1,4079,0.855494966442953,0
0014-03-16,2,3884,0.8145973154362416,190
0014-03-16,4,1960,0.4110738255033557,320
0014-03-16,5,36,0.007550335570469799,420
0014-03-17,3,1665,0.3492030201342282,200
0014-03-17,1,3842,0.8057885906040269,0
0014-03-17,2,3587,0.7523070469798657,190
0014-03-17,4,2176,0.4563758389261745,320
0014-03-17,5,33,0.006921140939597316,420
0014-03-18,3,2726,0.5717281879194631,200
0014-03-18,1,3366,0.7059563758389261,0
0014-03-18,2,3892,0.8162751677852349,190
0014-03-18,4,2531,0.5308305369127517,320
0014-03-18,5,211,0.04425335570469799,420
0014-03-19,3,2409,0.5052432885906041,200
0014-03-19,1,3915,0.8210989932885906,0
0014-03-19,2,4053,0.8500419463087249,190
0014-03-19,4,2364,0.49580536912751677,320
0014-03-19,5,126,0.026426174496644295,420
0014-03-20,3,2159,0.45281040268456374,200
0014-03-20,1,4423,0.9276426174496645,0
0014-03-20,2,3944,0.8271812080536913,190
0014-03-20,4,2252,0.47231543624161076,320
0014-03-20,5,235,0.049286912751677854,420
0014-03-21,3,1896,0.3976510067114094,200
0014-03-21,1,4446,0.9324664429530202,0
0014-03-21,2,3952,0.8288590604026845,190
0014-03-21,4,3221,0.6755453020134228,320
0014-03-21,5,390,0.08179530201342282,420
